fecha,confirmados,activos,recuperados,decesos,descartados,sospechosos,contencion_psicologica,monitoreo_epidemiologico,aislamiento_por_contacto_estrecho,aprehendidos
2020-06-30,106,29,71,6,574,23,342,2338,181,0
2020-07-01,114,31,77,6,581,22,342,2207,172,0
2020-07-02,124,40,78,6,588,24,356,2162,176,0
2020-07-03,137,53,78,6,606,31,356,2353,190,0
2020-07-04,154,70,78,6,622,31,356,2377,214,0
2020-07-05,159,74,79,6,635,37,356,1934,181,0
2020-07-06,177,91,80,6,646,52,371,1966,247,0
2020-07-07,188,97,84,7,669,57,371,2001,252,0
2020-07-08,209,109,93,7,687,55,371,2018,242,0
2020-07-09,233,130,96,7,710,56,371,1264,297,0
2020-07-10,248,141,99,8,728,45,371,1151,197,0
2020-07-11,265,158,99,8,744,53,371,1186,228,0
2020-07-12,282,171,102,9,758,64,371,1282,246,0
2020-07-13,291,178,104,9,886,79,371,1374,264,0
2020-07-14,303,189,105,9,911,73,371,1406,228,0
2020-07-15,315,198,108,9,972,62,371,1379,219,0
2020-07-16,330,202,119,9,996,80,417,1429,210,0
2020-07-17,345,208,127,10,1033,93,417,1491,204,0
2020-07-18,371,231,128,12,1056,111,417,1526,202,0
2020-07-19,374,228,134,12,1099,84,417,1369,199,0
2020-07-20,385,233,140,12,1114,98,417,1414,214,0
2020-07-21,401,230,158,13,1130,130,417,1466,226,0
2020-07-22,429,250,166,13,1169,100,417,1427,195,0
2020-07-23,451,261,177,13,1175,135,417,1323,192,0
2020-07-24,467,268,185,14,1233,128,417,1291,195,0
2020-07-25,481,274,193,14,1334,123,417,1331,180,0
2020-07-26,485,274,197,14,1350,124,417,1231,180,0
2020-07-27,496,268,213,15,1373,122,417,1216,182,0
2020-07-28,508,267,226,15,1416,122,417,1166,185,0
2020-07-29,523,250,258,15,1465,98,417,1109,186,0
2020-07-30,539,253,271,15,1532,107,417,1080,169,0
2020-07-31,552,245,291,16,1570,82,417,1127,175,0
2020-08-01,572,250,305,17,1594,89,417,1095,171,0
2020-08-02,577,236,324,17,1604,90,417,1014,171,0
2020-08-03,588,228,343,17,1637,101,417,1026,221,0
2020-08-04,609,227,364,18,1672,97,417,1177,194,0
2020-08-05,622,225,378,19,1692,116,417,1251,217,0
2020-08-06,625,213,393,19,1711,119,417,1150,255,0
2020-08-07,639,212,408,19,1737,154,417,1328,253,0
2020-08-08,658,217,422,19,1776,136,417,1163,248,0
2020-08-09,662,207,435,20,1815,142,417,1239,249,0
2020-08-10,675,202,453,20,1883,116,417,1174,246,0
2020-08-11,684,185,479,20,1909,127,417,1160,224,0
2020-08-12,698,182,496,20,1964,127,417,1261,224,0
2020-08-13,715,187,508,20,2035,115,417,1298,271,0
2020-08-14,744,202,522,20,2052,133,417,1278,233,0
2020-08-15,752,199,533,20,2080,136,417,1289,232,0
2020-08-16,755,194,541,20,2096,116,417,1274,225,0
2020-08-17,762,197,544,21,2119,115,417,1252,222,0
2020-08-18,778,204,553,21,2149,134,417,1398,208,0
2020-08-19,791,204,564,23,2224,104,417,1377,218,0
2020-08-20,802,205,574,23,2263,114,417,1212,207,0
2020-08-21,820,217,580,23,2308,111,417,1250,226,0
2020-08-22,839,219,596,24,2326,102,417,1294,270,0
2020-08-23,849,225,599,25,2366,105,417,1344,274,0
2020-08-24,876,240,611,25,2390,129,417,1415,309,0
2020-08-25,902,249,628,25,2418,152,417,1306,266,0
2020-08-26,942,283,633,26,2481,118,417,1275,271,0
2020-08-27,976,293,656,27,2524,133,417,1221,249,0
2020-08-28,1003,303,673,27,2559,155,417,1296,274,0
2020-08-29,1039,332,678,29,2625,114,417,1230,254,0
2020-08-30,1059,343,687,29,2646,112,417,1232,283,0
2020-08-31,1120,394,695,31,2676,166,417,1267,344,0
2020-09-01,1172,429,712,31,2710,199,417,1356,356,0
2020-09-02,1212,455,725,32,2768,212,417,1378,436,0
2020-09-03,1253,486,735,32,2789,236,417,1383,447,0
2020-09-04,1292,493,764,35,2811,231,417,1365,423,0
2020-09-05,1322,501,785,36,2842,280,417,1313,423,0
2020-09-06,1336,502,798,36,2861,290,417,1265,401,0
2020-09-07,1396,541,818,37,2897,342,417,1210,376,0
2020-09-08,1449,578,832,39,2933,355,417,1241,353,0
2020-09-09,1510,617,853,40,2969,371,417,1312,416,0
2020-09-10,1586,658,885,43,3008,374,417,1328,374,0
2020-09-11,1687,725,918,44,3113,314,417,1315,372,0
2020-09-12,1755,776,934,45,3172,256,417,1286,370,0
2020-09-13,1811,809,957,45,3200,278,417,1174,383,0
2020-09-14,1926,897,981,48,3226,301,417,1217,429,0
2020-09-15,2041,979,1013,49,3250,364,417,1255,442,0
2020-09-16,2177,1071,1055,51,3329,382,417,1211,432,0
2020-09-17,2291,1169,1071,51,3385,373,417,1326,491,0
2020-09-18,2378,1215,1107,56,3455,346,417,1358,516,0
2020-09-19,2440,1246,1134,60,3493,298,417,1217,458,0
2020-09-20,2487,1267,1159,61,3519,279,417,1211,489,0
2020-09-21,2589,1319,1209,61,3557,303,417,1261,510,0
2020-09-22,2714,1371,1282,61,3615,292,417,1197,554,0
2020-09-23,2841,1464,1313,64,3658,286,417,1206,562,0
2020-09-24,2906,1474,1366,66,3682,331,417,1221,562,0
2020-09-25,3012,1512,1434,66,3738,298,417,1168,625,0
